bindingId,issue,clientName,userName,location,productId,jobName,status,editUrl
6a6afff410ee81bc90a5df1d,BLANK,VARIANT LABELS & TECHNOLOGIES,DALJEET,BYCULLA,FS | LABEL | 000060,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a6afff410ee81bc90a5df1d
6a6c6d90377b702b04630f94,BLANK,VIJAY EXPORT,PARESH SHAH,MIRA ROAD,FS | LABEL | 000076,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a6c6d90377b702b04630f94
6a61fca088541c900d1bfff5,BLANK,VIJAY SWARN JEWELS PVT.LTD.,DEEPAK,MALAD,FS | LABEL | 000069,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a61fca088541c900d1bfff5
6a5f51b8d26df3db3fc44fdf,BLANK,YOUR SOLUTIONS,NILESH RANE ,VILE PARLE,FS | LABEL | 000014,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a5f51b8d26df3db3fc44fdf
6a6af74c525a7c75730835d4,BLANK,YOUR SOLUTIONS,NILESH RANE ,VILE PARLE,FS | LABEL | 000062,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a6af74c525a7c75730835d4
6a6af7e2525a7c757308360a,BLANK,YOUR SOLUTIONS,NILESH RANE ,VILE PARLE,FS | LABEL | 000033,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a6af7e2525a7c757308360a
6a5f387ff5247e9bb56c982a,BLANK,YOUR SOLUTIONS,NILESH RANE ,VILE PARLE,FS | LABEL | 000014,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a5f387ff5247e9bb56c982a
6a572e651ff5560ea5e8f7db,BLANK,YOUR SOLUTIONS,NILESH RANE ,VILE PARLE,FS | LABEL | 000055,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a572e651ff5560ea5e8f7db
6a5732be1ff5560ea5e8f9fa,BLANK,YOUR SOLUTIONS,NILESH RANE ,VILE PARLE,FS | LABEL | 000054,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a5732be1ff5560ea5e8f9fa
6a5f3815f5247e9bb56c979d,BLANK,YOUR SOLUTIONS,NILESH RANE ,VILE PARLE,FS | LABEL | 000012,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a5f3815f5247e9bb56c979d
6a3cfcced20893c57670ee6f,BLANK,ZAVERI PEARLS,RUPA JAIN,DAHISAR,FS | LABEL | 000001,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a3cfcced20893c57670ee6f
6a3ce573d20893c57670e4f5,STUCK_ON_ALL_TECH_SOLUTIONS,ALKEM LABORATORIES LIMITED,SACHIN KABRE,PANVEL,FS | LABEL | 000002,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a3ce573d20893c57670e4f5
6a46e9413d04df8f22e06cdf,STUCK_ON_ALL_TECH_SOLUTIONS,FLAIR WRITING EQUIPMENTS PVT LTD -FWEPL VALSAD,GURU SHARMA,VALSAD,FS | LABEL | 000035,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a46e9413d04df8f22e06cdf
6a61ca37356b74e3b20cc5bf,STUCK_ON_ALL_TECH_SOLUTIONS,HARRIS BRUSHES INDIA PVT LTD,ROHIT,BHIWANDI,FS | LABEL | 000068,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a61ca37356b74e3b20cc5bf
6a46fce53d04df8f22e07744,STUCK_ON_ALL_TECH_SOLUTIONS,MAHEK HOUSEWARES PVT. LTD,PREETI,PALGHAR,FS | LABEL | 000039,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a46fce53d04df8f22e07744
6a61c0c209c0124a43e009b7,STUCK_ON_ALL_TECH_SOLUTIONS,MIDAS CARE PHARMACEUTICALS PRIVATE LIMITED,AKSHAY VAIDYA,AURANGABAD,FS | LABEL | 000063,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a61c0c209c0124a43e009b7
6a61c02309c0124a43e00948,STUCK_ON_ALL_TECH_SOLUTIONS,MIDAS CARE PHARMACEUTICALS PRIVATE LIMITED,AKSHAY VAIDYA,AURANGABAD,FS | LABEL | 000036,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a61c02309c0124a43e00948
6a463cc9530094a9bfe20df2,STUCK_ON_ALL_TECH_SOLUTIONS,NAYASA ECOM,JASWANT KANOJIYA,VAPI,FS | LABEL | 000008,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a463cc9530094a9bfe20df2
6a461ad1323eea69c3866acf,STUCK_ON_ALL_TECH_SOLUTIONS,NAYASA POLYPLAST,JASWANT KANOJIYA,DAMAN,FS | LABEL | 000028,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a461ad1323eea69c3866acf
6a461b56323eea69c3866b14,STUCK_ON_ALL_TECH_SOLUTIONS,NAYASA POLYPLAST,JASWANT KANOJIYA,DAMAN,FS | LABEL | 000016,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a461b56323eea69c3866b14
6a461de9323eea69c3866c23,STUCK_ON_ALL_TECH_SOLUTIONS,NAYASA POLYPLAST,JASWANT KANOJIYA,DAMAN,FS | LABEL | 000030,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a461de9323eea69c3866c23
6a461e49323eea69c3866caa,STUCK_ON_ALL_TECH_SOLUTIONS,NAYASA POLYPLAST,JASWANT KANOJIYA,DAMAN,FS | LABEL | 000027,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a461e49323eea69c3866caa
6a44ec903be370fc7dfedec1,STUCK_ON_ALL_TECH_SOLUTIONS,NAYASA SUPERPLAST,JASWANT KANOJIYA,DAMAN,FS | LABEL | 000017,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a44ec903be370fc7dfedec1
6a44f0fe3be370fc7dfee359,STUCK_ON_ALL_TECH_SOLUTIONS,NAYASA SUPERPLAST,JASWANT KANOJIYA,DAMAN,FS | LABEL | 000010,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a44f0fe3be370fc7dfee359
6a44f1553be370fc7dfee39e,STUCK_ON_ALL_TECH_SOLUTIONS,NAYASA SUPERPLAST,JASWANT KANOJIYA,DAMAN,FS | LABEL | 000030,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a44f1553be370fc7dfee39e
6a44ecf13be370fc7dfedf1f,STUCK_ON_ALL_TECH_SOLUTIONS,NAYASA SUPERPLAST,JASWANT KANOJIYA,DAMAN,FS | LABEL | 000016,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a44ecf13be370fc7dfedf1f
6a46e3ca3d04df8f22e069df,STUCK_ON_ALL_TECH_SOLUTIONS,NAYASA SUPERPLAST,JASWANT KANOJIYA,DAMAN,FS | LABEL | 000029,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a46e3ca3d04df8f22e069df
6a44e93e3be370fc7dfedddc,STUCK_ON_ALL_TECH_SOLUTIONS,NAYASA SUPERPLAST,JASWANT KANOJIYA,DAMAN,FS | LABEL | 000027,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a44e93e3be370fc7dfedddc
6a44ec1c3be370fc7dfede91,STUCK_ON_ALL_TECH_SOLUTIONS,NAYASA SUPERPLAST,JASWANT KANOJIYA,DAMAN,FS | LABEL | 000028,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a44ec1c3be370fc7dfede91
6a461646323eea69c3866790,STUCK_ON_ALL_TECH_SOLUTIONS,NAYASA WORLD,JASWANT KANOJIYA,DAMAN,FS | LABEL | 000031,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a461646323eea69c3866790
6a461712323eea69c38667ef,STUCK_ON_ALL_TECH_SOLUTIONS,NAYASA WORLD,JASWANT KANOJIYA,DAMAN,FS | LABEL | 000030,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a461712323eea69c38667ef
6a4616be323eea69c38667c7,STUCK_ON_ALL_TECH_SOLUTIONS,NAYASA WORLD,JASWANT KANOJIYA,DAMAN,FS | LABEL | 000027,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a4616be323eea69c38667c7
6a43bba11f40d4220e372c4a,STUCK_ON_ALL_TECH_SOLUTIONS,NAYASA WORLD,JASWANT KANOJIYA,DAMAN,FS | LABEL | 000016,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a43bba11f40d4220e372c4a
6a44e6403be370fc7dfed989,STUCK_ON_ALL_TECH_SOLUTIONS,NAYASA WORLD,JASWANT KANOJIYA,DAMAN,FS | LABEL | 000010,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a44e6403be370fc7dfed989
6a3e02622f5dfc8e25b823e6,STUCK_ON_ALL_TECH_SOLUTIONS,NRB BEARINGS LIMITED,SWAPNIL DESALE,WALUJ,FS | LABEL | 000007,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a3e02622f5dfc8e25b823e6
6a49c0d31c525c0410d45dbc,STUCK_ON_ALL_TECH_SOLUTIONS,NRB BEARINGS LIMITED,SWAPNIL DESALE,JALNA,FS | LABEL | 000045,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a49c0d31c525c0410d45dbc
6a3e0ca72f5dfc8e25b82aec,STUCK_ON_ALL_TECH_SOLUTIONS,NRB BEARINGS LIMITED (HYDERABAD),AMULYA,HYDERABAD,FS | LABEL | 000007,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a3e0ca72f5dfc8e25b82aec
6a6c3db66225146244b41db7,STUCK_ON_ALL_TECH_SOLUTIONS,ORO PRECIOUS METALS PRIVATE LIMITED,RAHUL CHAVAN,NAVI MUMBAI,FS | LABEL | 000071,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a6c3db66225146244b41db7
6a6c53a0377b702b046306b7,STUCK_ON_ALL_TECH_SOLUTIONS,SUPER FRESH FRUITS PRIVATE LIMITED,NILESH,CRAWFORD MARKET,FS | LABEL | 000073,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a6c53a0377b702b046306b7
6a3d00f2d20893c57670f03a,STUCK_ON_ALL_TECH_SOLUTIONS,ZAVERI PEARLS,RUPA JAIN,DAHISAR,FS | LABEL | 000005,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a3d00f2d20893c57670f03a
6a3d00a5d20893c57670efe8,STUCK_ON_ALL_TECH_SOLUTIONS,ZAVERI PEARLS,RUPA JAIN,DAHISAR,FS | LABEL | 000004,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a3d00a5d20893c57670efe8
6a3d0054d20893c57670efc6,STUCK_ON_ALL_TECH_SOLUTIONS,ZAVERI PEARLS,RUPA JAIN,DAHISAR,FS | LABEL | 000003,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a3d0054d20893c57670efc6
